Personality,Class,Scarcity,N,Death_Rate,First_Casualty_Rate,Survival_Rate
Aggressive,Middle,ABUNDANCE,50,0.82,0.26,0.18
Aggressive,Middle,FAMINE,50,1.0,0.0,0.0
Aggressive,Poor,ABUNDANCE,50,0.9,0.66,0.1
Aggressive,Poor,FAMINE,50,1.0,1.0,0.0
Aggressive,Rich,ABUNDANCE,50,0.66,0.04,0.34
Aggressive,Rich,FAMINE,50,0.0,0.0,1.0
Altruistic,Middle,ABUNDANCE,50,0.0,0.0,1.0
Altruistic,Middle,FAMINE,50,0.8,0.0,0.2
Altruistic,Poor,ABUNDANCE,50,0.0,0.0,1.0
Altruistic,Poor,FAMINE,50,0.98,0.98,0.02
Altruistic,Rich,ABUNDANCE,50,0.04,0.04,0.96
Altruistic,Rich,FAMINE,50,0.32,0.02,0.68
Dominant,Middle,ABUNDANCE,50,0.16,0.1,0.84
Dominant,Middle,FAMINE,50,0.9,0.0,0.1
Dominant,Poor,ABUNDANCE,50,0.18,0.12,0.82
Dominant,Poor,FAMINE,50,1.0,1.0,0.0
Dominant,Rich,ABUNDANCE,50,0.28,0.24,0.72
Dominant,Rich,FAMINE,50,0.08,0.0,0.92
